Sno,User,Rating,Review
1,S _TV,1,Terrible game. The algorithm is really messed up. Nothing compared to real time ludo. Apparently this game favours one player over other. I wish I could give it zero stars or maybe negative stars if that was at all possible. Nonsense. This game needs to be re configured. The source code writers are a terrible mess. Get them fired. If anyone during this lockdown is to be fired. They should be the preference.
2,Niya Gancheva,2,"The algorithm is too repetitive. I can predict what another player will get almost all of the time, especially in tense situation. There are very distinct patterns that are spread across the different games and after some time they just become the same. Also taking tokens is a very common occurrence, almost every 4th or 5th turn, which is definitely not the case in the real board game."
3,Anyones Profy,1,"Initially the game was fun to play. But today this game sucked badly. It moves the pieces on its own. I have a screen recording if you want. What is the point playing a game where it glitches so much that it costs you the game. Seems like it was a ghost playing and I was just watching. You are initially worth 5 star, now even you don't deserve 1 star."
4,Kaushal Patel,1,"As far as I played this game I found it like all set up. With the beginning of the game one player is very favourable most likely to win the game. whereas otherone is found very dim and to lose the game, rest two are average players (if first player makes few mistakes then one of them get chance to win only.) So fix this issue and give random dices to every player and give equal chance to every one and let them use theire mind or skill to win the board.. Thank you..!!"
5,mayank kumar,1,"Most biased game ever. In every game, I am the last one to get six. I get ones in a row for 3 or 4 times in a row quite often. I have to chase others to cut them but others cut me very easily even if I m on the verge of getting home by getting 6-6-5 so often that I get the feeling the feeling that I am not getting in and it actually happens. Can u explain all this, ludo king team?"
6,Nilesh Verma,1,Worst game ever played. Never install this. This is not actual ludo. There is nothing call random and luck. Every thing is well programmed and it is decided in the beginning of game that who will win. No matter how much lead you have in the game. Most important thing.. Its addictive game not due to your interest but the algorithm they used for winnig and loosing . The most important part is acquiring coins which makes you more eager to play. Once you start playing you can't stop. Don't install
7,Ganesh Krishnan,1,"I've been reading most of the reviews and whatever mentioned here is correct. The person who has the most number of coins and most played will always win. The algorithm is set in such a way to favor the higher end players. There is a targeted target player,a top end player and 2 moderate players..obviously the game is an addictive one but still the algorithm sucks."
8,Anuj Gupta,4,"Hi Ludo King Team, One suggestion on the algorithm: When people think they are not going to be either 1st or 2nd, they quit the game because anyways they are going to loose all of their spent coins. I would suggest not to deduct 100% of the coins who comes at 3rd position. Deduct 60 or 70% or anything but not 100%. Though thanks for the great game :)"
9,Dinesh Thapa,1,"This is the most fixed game, i have ever played in my life. i was just one place far from winning the game many times but one never came on dice but for my opponent completed one round & own at last. Around 18-19 throws didn't give 1,what type of setting is this??Not once or twice,its happen many times. This is just a fixed game where most indians win ! Totally wast. I don't want to give any rating......."
10,Suryaprakash Shukla,1,"This is the worst game ever, it always wants to bring to the last tile and never make the player wins. The other player can open their 4 token and win in that time. Why did the developers do that? You have no authority to interfere with tokens. You have a fake team. I guess the entire team is just a bunch of useless people with no brains. Education can only allow you to make good applications but to put life in that, you never learn in any school. You fraudsters have made money you don't deserve"
11,Vijay Kumar Verma,1,"The algorithm used by ludo King is not random and is based on the number of coins you have purchased from site, it favours you when you buy the coins from site and you will start losing when you keep on playing with existing base. Even in their 7 UP DOWN game, when you win once or twice you are bound to lose n number of times till your tally goes below the existing level. Ludo king you are doing great job in earning money. People think they are playing game but it's a different game altogether."
12,Kiran Turme,1,"The worst game in the Play Store. It is so very predictable and manipulative, that it manages to irritate me to another level. And the 5 stupid chances you give that users use as a lucky role, especially to get either a 6 or a 1 is what makes this game win the WORST LUDO GAME AWARD. With an intention of making the game over thrilling to get it as close as possible, you have at least managed to lose me as a user, and I hope I'm not the only one. Wish there was a 0 or lower than tht rating avlble."
13,ankit raj,1,"Write a algo to generate random number. It's almost pridcted like whenever some one is reaching to others area, the other one will get a 6, atleast in initial moment. Also, if some is having more point compared to other.. other tends to loose.... Whatever be the scenario... Even if he's all inside home..but will not be winner. Atleast this is a case when 2 player are only playing."
14,Kayode Makinde,1,"I'm not trying to say it's not a bad game. I'm just saying that it is stupidly unfair. There's bad luck sure. But the amount of bad luck in this game that can ruin your entire game is incredible. It's like if you buy coins, it makes you fail so you need to buy more. I can't play this game anymore. I hate games where I feel cheated. It's one thing to lose, another thing to feel like you were made to lose"
15,saurabh patel,1,"Very predictable game, the algorithms are too bad. 1 it is almost impossible for your 2 tokens to land on same place. 2 in two players you can always guess when you will get 6. You will get 1 all the time but hard time if you are way ahead of opponent and near home. 3. You will always get killed if near opponent house and are in lead. 4.way too many bots Keep it random guys remove algorithms"
16,A Google user,1,Worst game ever . when I newly downloaded I used to get 6 and used to win but what happened now as I've been noticing after playing with lots of hardwork I lose on last point every time .how can this be happened .I play at least 10 times and every time I fail eventhough I play very well.they are biases I agree.If this is going to happen for few of days I'm sure I'm gonna uninstall this application.
17,Transark Staffing,1,"At first I liked this app, but I am very disappointed that this AI doesnot let you win and keep on giving you some different no.,s other than you need at the end part of the game if you have already got 3 of your points in . It makes it impossible for one to win . The dice numbers are not random."
18,Tushar Singh,1,Worst game ever. Its totally fixed as 1 player will always be favoured by the software and 1 will loose no matter what they do. I can say this as i have been on both ends of the spectrum. It makes strategy and smarts obsolete as no matter how you play you'll win or loose depending on whether the game wants you to win or not. Dice rolls are decided in manner which can make d game go on for the longest period of time. Quantity can never be a substitute for quality. Waiting for a good alternative.
19,Abdul Salam,2,"Most of the time I am getting message ""Connecting to server"". Also while playing the game with friends my connection with server is lost. It is also too annoying to wait for game to reestablish connection with server. My internet speed is good and I have recently updated the game to version v5.0.0.154."
20,Varun vkkp,2,"I don't know what happened. At the first time, I enjoyed this game. But right now, I can not play this because it closes automatically. I have got about 21.7k coins and 120+ diamonds. But now all are going to lose. An another problem is that it takes more time to open with battery drainage"
21,Tushar Gupta,1,It's really a disgusting game. Fully computer operated. I would really insist the company to work on this. It's really bad that few players get 6 very rarely. And also that to install a function of operating the number next after we get six to be played first. Please app has to work on these things
22,Robin Chawla,1,"Pathetic App. This game is biased, winner is predefined no matter how good player moves the token. If your all tokens are near ur house and opponents token are still inside you won't get numbers to clear the game till opponents almost all tokens reach near the house. Sometimes in first turn if u get 6 u won't be able to do anything, stupid game freezes till the auto move. If you need one in last and opponent has three tokens left he will win. The so called random generator dice program will suck"
23,Shirshendu Lahiri,1,Changing my rating from 5 to 1 stars.Basically what i have observed is that the game predecides who is going to win and if you are the opponent you cannot win no matter what you do.The rest of the players have a close competition requiring 1 or 2 to win. And the game says that the dice thrown is always random. Random my ass.
24,Rashmi Ramesh,1,"Man every time am almost about to win ... Just a single pawn left , but the other players seem to get the exact number the need to kill me ... God knows what logic this game has . Also if the player has more coins it's obvious that that players win .... The dies roll is just like gives the exact number that need to kill me .."
25,Shri Mittal,1,At first i like this game but after i observed that it always decides that who will be the winner and do partiality with other player. When dice rolles it gives big numbers to other player and 1or 2 to other player. If you're level is bigger from other player still you will get small numbers. Didn't expected this cheating.Totally disappointed\U0001f620\U0001f621
26,Arco Chakraborty,2,Hey Guys your app was great until the update on the 5th May 2020 . The app won't work for 5 minutes straight before crashing or flickering or simply getting stuck I am using the app on my my one plus 6T Kindly look into this it will be a shame to uninstall the game after being a avid user for a better part of 2 months Please fix it !!
27,Sakthi Priya,1,The very very worst game I have ever played. I have lost many games without getting the proper die number. It has already planned on which player to win and gives tosses according to it. Please don't install this. I lost all my coins because of its missions and challenges.
28,Prabhakar Shukla,1,"Absolutely AI based algo. It's not very obvious at first but after a few games you will definitely realise something is wrong. Not because you are losing but because you have played actual ludo and are aware of what reality feels like. There is a lot of AI meddling going on in this game. Specially if you have paid them some money for any reason like themes etc, they will know that this person mat possibly make future purchases and wil make you lose game after game and force you buy again!"
29,Chinmay Parakh,1,"Network error appears every now and then.. My Wifi and Internet has never given me any problems so far which makes me question on this game..This error is not an actual error, it's just someone from the Ludo Team wanting me dead or out of the game which doesn't make any sense. I hope you guys look into this and make an update with satisfactory solution. Thanks!"
30,DHIRAJ GUPTA,1,Worst ludo game available on play store and simply dumbest coded game. Someone wins the match continuosly and someone loses again and again. Enemy has 3 token outside and i have only one inside with only 1 place to go but still i lost the game as after throwing dice 28 times ( yes i counted ) i didn't get 1 and opponent wins. read many reviews and all are saying the same problem with the dice. Kindly employ some decent app maker ( who knows the job ) and make it more competitive game
31,ZIA Hasan,2,"Though the game is good but the app is very frustrating. It keep on showing ""connecting to server"" on online mode. Doesnt matter how many times you start the app or reboot your phone altogether it just doesnt connect. Uninstalled the app many a times but that also didnt solve the issue."
32,Naren N,1,"The game takes complete one side at times. Not fair to play and waste the time. Game with random opponents is not upto the mark. It makes unfair matches like for level 2 player against level 300+ player. Where the later enjoys favourable probability numbers to beat the other. At times the game completely takes a side with good numbers consistently. It may be a trick to force the player to purchase coins, but not a fair game to play. Logged off online, keeping only for playing within family."
33,Ribhav Thakur,1,"I'm not sure this is happening to me only or others also.Each time I play only my token gets captured & I rarely succeed to get even a single token of others.Whenever the die rolls my tokens are doomed.I don't know why? I know your game works with probability but that doesn't mean that P(my token will be caught)=0.99999999 My opinion is,you don't even deserve a single star.I'm not going to play this game anymore . And one last thing who gave the right to you saying ""best game on google play"".\U0001f621"
